"X1","X2","name","clust5","clust10","clust15","clust20","text","textgr"
44.6719418578177,19.1618565115101,"1",1,1,1,1,"He who is a teacher from the very heart takes all things seriously only with reference to his students - even himself.","Wer von Grund aus Lehrer ist, nimmt alle Dinge nur in Bezug auf seine Schüler ernst, - sogar sich selbst."
160.730898094298,193.276788493702,"2",2,2,2,2,"'Knowledge for its own sake' - this is the last snare set by morality: one therewith gets completely entangled with it once more.","Die Erkenntniss um ihrer selbst willen - das ist der letzte Fallstrick, den die Moral legt: damit verwickelt man sich noch einmal völlig in sie."
-172.735042702762,-114.6094722249,"3",3,3,3,3,"The charm of knowledge would be small if so much shame did not have to be overcome on the road to it.","Der Reiz der Erkenntniss wäre gering, wenn nicht auf dem Wege zu ihr so viel Scham zu überwinden wäre."
138.545969516212,179.530143293465,"4",2,2,2,2,"The inclination to disparage himself, to let himself be robbed, lied to and exploited, could be the self-effacement of a god among men.","Die Neigung, sich herabzusetzen, sich bestehlen, belügen und ausbeuten zu lassen, könnte die Scham eines Gottes unter Menschen sein."
82.7028875274403,148.331232998972,"5",1,4,4,4,"Love of one is a piece of barbarism: for it is practised at the expense of all others. Love of God likewise.","Die Liebe zu Einem ist eine Barbarei: denn sie wird auf Unkosten aller Übrigen ausgeübt. Auch die Liebe zu Gott."
81.4235903483159,7.34292864002743,"6",1,1,1,1,"'I have done that,' says my memory. 'I cannot have done that' - says my pride, and remains adamant. At last - memory yields.","Das habe ich gethan sagt mein Gedächtniss. Das kann ich nicht gethan haben - sagt mein Stolz und bleibt unerbittlich. Endlich - giebt das Gedächtniss nach."
-1.10993008953795,257.642898098164,"7",4,5,5,5,"One has been a bad spectator of life if one has not also seen the hand that in a considerate fashion - kills.","Man hat schlecht dem Leben zugeschaut, wenn man nicht auch die Hand gesehn hat, die auf eine schonende Weise - tödtet."
-157.131463635793,131.163106425285,"8",3,6,6,6,"If one has character one also has one's typical experience which recurs again and again.","Hat man Charakter, so hat man auch sein typisches Erlebniss, das immer wiederkommt."
-228.485259172187,-79.5027441366288,"9",3,3,3,7,"The sage as astronomer. - As long as you still feel the stars as being something 'over you' you still lack the eye of the man of knowledge.","Der Weise als Astronom. - So lange du noch die Sterne fühlst als ein Über-dir, fehlt dir noch der Blick des Erkennenden."
10.8748066173966,-45.8930513581928,"10",1,1,1,1,"It is not the strength but the duration of exalted sensations which makes exalted men.","Nicht die Stärke, sondern die Dauer der hohen Empfindung macht die hohen Menschen."
-71.1464568237873,-53.1150906325532,"11",3,3,7,8,"He who attains his ideal by that very fact transcends it.","Wer sein Ideal erreicht, kommt eben damit über dasselbe hinaus. 73 a. Mancher Pfau verdeckt vor Aller Augen seinen Pfauenschweif - und heisst es seinen Stolz."
32.9799105875807,-170.54927608578,"12",5,7,8,9,"A man with genius is unendurable if he does not also possess at least two other things: gratitude and cleanliness.","Ein Mensch mit Genie ist unausstehlich, wenn er nicht mindestens noch zweierlei dazu besitzt: Dankbarkeit und Reinlichkeit."
-86.2813790031817,-13.7303363812705,"13",3,3,7,10,"The degree and kind of a man's sexuality reaches up into the topmost summit of his spirit.","Grad und Art der Geschlechtlichkeit eines Menschen reicht bis in den letzten Gipfel seines Geistes hinauf."
38.0958895023415,-100.223593354849,"14",5,7,9,11,"Under conditions of peace the warlike man attacks himself.","Unter friedlichen Umständen fällt der kriegerische Mensch über sich selber her."
30.342787290677,-376.533130150104,"15",5,8,10,12,"With one's principles one seeks to tyrannize over one's habits or to justify or honour or scold or conceal them - two people with the same principles probably seek something fundamentally different with them.","Mit seinen Grundsätzen will man seine Gewohnheiten tyrannisiren oder rechtfertigen oder ehren oder beschimpfen oder verbergen: - zwei Menschen mit gleichen Grundsätzen wollen damit wahrscheinlich noch etwas Grund-Verschiedenes."
-13.060441732271,-206.665864155194,"16",5,7,8,9,"He who despises himself still nonetheless respects himself as one who despises.","Wer sich selbst verachtet, achtet sich doch immer noch dabei als Verächter."
247.405247819206,49.779370690147,"17",2,9,11,13,"A soul which knows it is loved but does not itself love betrays its dregs - its lowest part comes up.","Eine Seele, die sich geliebt weiss, aber selbst nicht liebt, verräth ihren Bodensatz: - ihr Unterstes kommt herauf."
-67.1051835962223,-67.7908058322326,"18",3,3,7,8,"A thing explained is a thing we have no further concern with. - What did that god mean who counselled: `know thyself!'? Does that perhaps mean: `Have no further concern with thyself! become objective!' - And Socrates? - And the `man of science'?-","Eine Sache, die sich aufklärt, hört auf, uns etwas anzugehn. - Was meinte jener Gott, welcher anrieth: ""erkenne dich selbst""! Hiess es vielleicht: ""höre auf, dich etwas anzugehn! werde objektiv!"" - Und Sokrates? - Und der ""wissenschaftliche Mensch""? -"
-209.575782116057,-3.48118365188914,"19",3,6,12,14,"It is dreadful to die of thirst in the sea. Do you have to salt your truth so much that it can no longer even - quench thirst?","Es ist furchtbar, im Meere vor Durst zu sterben. Müsst ihr denn gleich eure Wahrheit so salzen, dass sie nicht einmal mehr - den Durst löscht?"
-171.354724527217,-133.568204189258,"20",3,3,3,3,"`Pity for all' - would be harshness and tyranny for you, my neighbour!","Mitleiden mit Allen - wäre Härte und Tyrannei mit dir, mein Herr Nachbar! -"
27.8836643377694,62.7077417202158,"21",1,4,4,15,"Instinct - When the house burns down one forgets even one's dinner. - Yes: but one retrieves it from the ashes.","Der Instinkt. - Wenn das Haus brennt, vergisst man sogar das Mittagsessen. - Ja: aber man holt es auf der Asche nach."
3.39714994220802,-101.078883898079,"22",5,7,9,11,"Woman learns how to hate to the extent that she unlearns how - to charm.","Das Weib lernt hassen, in dem Maasse, in dem es zu bezaubern - verlernt."
143.536723675149,60.3370632956931,"23",2,9,13,16,"The same emotions in man and woman are, however, different in tempo: therefore man and woman never cease to misunderstand one another.","Die gleichen Affekte sind bei Mann und Weib doch im Tempo verschieden: deshalb hören Mann und Weib nicht auf, sich misszuverstehn."
